lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01000325,C1,2,2,1.0
E01000326,C1,1,1,1.0
E01000327,C1,3,3,1.0
E01000328,C1,6,5,1.2
E01000329,C1,1,1,1.0
E01000330,C1,3,1,3.0
E01000331,C1,4,4,1.0
E01000332,C1,4,4,1.0
E01000333,C1,7,6,1.1666666666666667
E01000335,C1,14,11,1.2727272727272727
E01000336,C1,6,5,1.2
E01000337,C1,2,2,1.0
E01000338,C1,4,4,1.0
E01000339,C1,1,1,1.0
E01000340,C1,3,3,1.0
E01000342,C1,1,1,1.0
E01000343,C1,2,2,1.0
E01000344,C1,1,1,1.0
E01000345,C1,4,4,1.0
E01000346,C1,2,2,1.0
E01000347,C1,3,1,3.0
E01000348,C1,3,3,1.0
E01000351,C1,4,4,1.0
E01000352,C1,4,4,1.0
E01000355,C1,3,3,1.0
E01000356,C1,10,8,1.25
E01000357,C1,1,1,1.0
E01000358,C1,3,3,1.0
E01000360,C1,5,5,1.0
E01000361,C1,1,1,1.0
E01000364,C1,4,4,1.0
E01000365,C1,9,5,1.8
E01000366,C1,1,1,1.0
E01000367,C1,3,3,1.0
E01000369,C1,3,3,1.0
E01000370,C1,3,3,1.0
E01000371,C1,2,2,1.0
E01000372,C1,2,2,1.0
E01000373,C1,1,1,1.0
E01000374,C1,2,2,1.0
E01000375,C1,5,4,1.25
E01000376,C1,2,2,1.0
E01000377,C1,2,2,1.0
E01000378,C1,4,4,1.0
E01000379,C1,2,2,1.0
E01000380,C1,4,4,1.0
E01000381,C1,5,4,1.25
E01000382,C1,3,2,1.5
E01000383,C1,2,2,1.0
E01000384,C1,5,5,1.0
E01000385,C1,4,4,1.0
E01000386,C1,2,2,1.0
E01000387,C1,2,2,1.0
E01000388,C1,4,3,1.3333333333333333
E01000389,C1,1,1,1.0
E01000390,C1,3,2,1.5
E01000392,C1,1,1,1.0
E01000393,C1,2,2,1.0
E01000394,C1,1,1,1.0
E01000395,C1,1,1,1.0
E01000396,C1,4,4,1.0
E01000398,C1,2,2,1.0
E01000399,C1,1,1,1.0
E01000400,C1,2,2,1.0
E01000401,C1,4,4,1.0
E01000402,C1,1,1,1.0
E01000403,C1,4,4,1.0
E01000404,C1,1,1,1.0
E01000405,C1,1,1,1.0
E01000406,C1,5,5,1.0
E01000407,C1,3,3,1.0
E01000408,C1,10,8,1.25
E01000410,C1,1,1,1.0
E01000412,C1,1,1,1.0
E01000413,C1,3,3,1.0
E01000414,C1,10,7,1.4285714285714286
E01000415,C1,3,3,1.0
E01000416,C1,5,5,1.0
E01000417,C1,2,2,1.0
E01000418,C1,3,3,1.0
E01000419,C1,1,1,1.0
