period,LSOA,SHEF_A,report_count,user_count,average
2009,E01000002,Other,1,1,1.0
2009,E01000002,Pavement /Footway Defects,2,2,1.0
2009,E01000002,Street Lights,1,1,1.0
2009,E01000003,Pavement /Footway Defects,1,1,1.0
2009,E01000005,Abandoned Vehicles,1,1,1.0
2009,E01000005,Traffic Lights,1,1,1.0
2009,E01000006,Potholes,1,1,1.0
2009,E01000007,Highway Condition,1,1,1.0
2009,E01000007,Other,1,1,1.0
2009,E01000007,Pavement /Footway Defects,1,1,1.0
2009,E01000007,Potholes,2,1,2.0
2009,E01000007,Traffic Lights,1,1,1.0
2009,E01000009,Other,1,1,1.0
2009,E01000009,Potholes,6,1,6.0
2009,E01000010,Other,1,1,1.0
2009,E01000010,Potholes,5,2,2.5
2009,E01000010,Street Signs,2,1,2.0
2009,E01000012,Potholes,1,1,1.0
2009,E01000013,Pavement /Footway Defects,1,1,1.0
2009,E01000015,Other,1,1,1.0
2009,E01000019,Fly-tipping,1,1,1.0
2009,E01000019,Rubbish,1,1,1.0
2009,E01000021,Fallen/Dangerous Trees,1,1,1.0
2009,E01000025,Highway Condition,1,1,1.0
2009,E01000025,Other,1,1,1.0
2009,E01000027,Other,1,1,1.0
2009,E01000038,Abandoned Vehicles,1,1,1.0
2009,E01000038,Rubbish,1,1,1.0
2009,E01000039,Other,1,1,1.0
2009,E01000039,Pavement /Footway Defects,1,1,1.0
2009,E01000040,Abandoned Vehicles,1,1,1.0
2009,E01000040,Fly-tipping,2,1,2.0
2009,E01000040,Other,1,1,1.0
2009,E01000040,Potholes,2,1,2.0
2009,E01000040,Rubbish,1,1,1.0
2009,E01000042,Potholes,1,1,1.0
2009,E01000042,Street Signs,1,1,1.0
2009,E01000044,Pavement /Footway Defects,1,1,1.0
2009,E01000044,Potholes,1,1,1.0
2009,E01000044,Street Lights,1,1,1.0
2009,E01000046,Rubbish,1,1,1.0
2009,E01000050,Potholes,2,1,2.0
2009,E01000051,Highway Condition,1,1,1.0
2009,E01000052,Potholes,1,1,1.0
2009,E01000062,Abandoned Vehicles,1,1,1.0
2009,E01000069,Dog Fouling,1,1,1.0
2009,E01000070,Fallen/Dangerous Trees,1,1,1.0
2009,E01000070,Fly-tipping,1,1,1.0
2009,E01000070,Potholes,1,1,1.0
2009,E01000071,Potholes,1,1,1.0
2009,E01000072,Fly-tipping,1,1,1.0
2009,E01000072,Parking,1,1,1.0
2009,E01000080,Pavement /Footway Defects,1,1,1.0
2009,E01000080,Potholes,1,1,1.0
2009,E01000083,Other,1,1,1.0
2009,E01000085,Public Toilets,1,1,1.0
2009,E01000094,Abandoned Vehicles,1,1,1.0
2009,E01000096,Pavement /Footway Defects,1,1,1.0
2009,E01000099,Pavement /Footway Defects,1,1,1.0
2009,E01000100,Other,1,1,1.0
2009,E01000102,Other,1,1,1.0
2009,E01000105,Highway Condition,1,1,1.0
2009,E01000105,Other,2,1,2.0
2009,E01000106,Abandoned Vehicles,1,1,1.0
2009,E01000115,Fly-tipping,1,1,1.0
2009,E01000115,Highway Condition,1,1,1.0
