lsoa,reports,unique_users,average_per_user
95BB01S2,1,1,1.0
95BB06W1,1,1,1.0
95BB07S1,1,1,1.0
95BB13S3,1,1,1.0
95DD04W1,1,1,1.0
95FF06S2,1,1,1.0
95GG10S2,1,1,1.0
95GG12S1,1,1,1.0
95GG34S3,1,1,1.0
95GG39S1,1,1,1.0
95GG50S1,1,1,1.0
95II17W1,1,1,1.0
95LL16S1,2,2,1.0
95MM12S1,1,1,1.0
95SS03S2,1,1,1.0
95VV16W1,1,1,1.0
95WW20S1,1,1,1.0
95YY20W1,1,1,1.0
95ZZ14S1,1,1,1.0
E01000002,2,2,1.0
E01000008,1,1,1.0
E01000015,1,1,1.0
E01000027,1,1,1.0
E01000029,4,1,4.0
E01000032,1,1,1.0
E01000035,1,1,1.0
E01000045,1,1,1.0
E01000050,1,1,1.0
E01000052,2,2,1.0
E01000053,1,1,1.0
E01000056,1,1,1.0
E01000063,1,1,1.0
E01000071,1,1,1.0
E01000074,1,1,1.0
E01000075,1,1,1.0
E01000078,4,2,2.0
E01000080,1,1,1.0
E01000087,1,1,1.0
E01000090,1,1,1.0
E01000092,1,1,1.0
E01000098,2,1,2.0
E01000107,1,1,1.0
E01000115,2,2,1.0
E01000116,3,3,1.0
E01000117,3,2,1.5
E01000118,3,1,3.0
E01000120,1,1,1.0
E01000121,1,1,1.0
E01000122,2,2,1.0
E01000123,1,1,1.0
E01000124,2,2,1.0
E01000126,2,2,1.0
E01000127,6,2,3.0
E01000128,6,4,1.5
E01000129,5,2,2.5
E01000130,1,1,1.0
E01000131,3,3,1.0
E01000132,6,4,1.5
E01000133,1,1,1.0
E01000134,1,1,1.0
E01000135,2,2,1.0
E01000136,4,1,4.0
E01000137,1,1,1.0
E01000140,1,1,1.0
E01000141,1,1,1.0
E01000143,1,1,1.0
E01000144,1,1,1.0
E01000145,1,1,1.0
E01000147,1,1,1.0
E01000150,3,3,1.0
E01000151,2,2,1.0
E01000152,6,2,3.0
E01000153,1,1,1.0
E01000154,1,1,1.0
E01000155,7,6,1.1666666666666667
E01000157,3,2,1.5
E01000158,7,4,1.75
E01000160,4,4,1.0
E01000161,3,3,1.0
E01000163,2,2,1.0
E01000164,8,4,2.0
E01000165,1,1,1.0
E01000169,4,3,1.3333333333333333
E01000170,1,1,1.0
E01000171,1,1,1.0
E01000173,1,1,1.0
E01000174,1,1,1.0
E01000175,2,1,2.0
E01000180,2,1,2.0
E01000181,2,2,1.0
E01000182,1,1,1.0
E01000185,1,1,1.0
E01000187,1,1,1.0
E01000191,1,1,1.0
E01000192,1,1,1.0
E01000193,1,1,1.0
E01000195,1,1,1.0
E01000196,3,3,1.0
E01000197,1,1,1.0
E01000198,1,1,1.0
E01000199,1,1,1.0
E01000201,1,1,1.0
E01000202,1,1,1.0
E01000204,1,1,1.0
E01000208,2,2,1.0
E01000210,5,5,1.0
E01000211,1,1,1.0
E01000214,1,1,1.0
E01000215,1,1,1.0
E01000216,1,1,1.0
E01000219,1,1,1.0
E01000220,1,1,1.0
E01000221,1,1,1.0
E01000223,1,1,1.0
E01000224,1,1,1.0
E01000225,1,1,1.0
E01000226,3,1,3.0
E01000227,3,3,1.0
E01000228,6,3,2.0
E01000229,1,1,1.0
E01000231,2,2,1.0
E01000232,1,1,1.0
E01000233,2,2,1.0
E01000234,1,1,1.0
E01000235,1,1,1.0
E01000236,1,1,1.0
E01000237,1,1,1.0
E01000238,1,1,1.0
E01000239,1,1,1.0
E01000241,1,1,1.0
E01000242,1,1,1.0
E01000244,1,1,1.0
E01000245,2,2,1.0
E01000246,4,3,1.3333333333333333
E01000248,6,3,2.0
E01000250,5,3,1.6666666666666667
E01000253,4,2,2.0
E01000254,1,1,1.0
E01000256,7,5,1.4
E01000258,14,4,3.5
E01000260,14,2,7.0
E01000261,12,2,6.0
E01000264,2,2,1.0
E01000265,3,2,1.5
E01000266,1,1,1.0
E01000268,4,3,1.3333333333333333
E01000269,1,1,1.0
E01000270,1,1,1.0
E01000271,2,2,1.0
E01000272,1,1,1.0
E01000274,1,1,1.0
E01000275,2,2,1.0
E01000277,3,3,1.0
E01000279,5,3,1.6666666666666667
E01000282,1,1,1.0
E01000283,1,1,1.0
E01000284,1,1,1.0
E01000285,3,2,1.5
E01000286,1,1,1.0
E01000288,2,2,1.0
E01000289,2,1,2.0
E01000290,3,2,1.5
E01000292,1,1,1.0
E01000293,2,2,1.0
E01000294,3,2,1.5
E01000295,1,1,1.0
E01000296,1,1,1.0
E01000299,1,1,1.0
E01000302,6,4,1.5
E01000303,1,1,1.0
E01000304,2,1,2.0
E01000305,2,2,1.0
E01000306,2,1,2.0
E01000307,2,2,1.0
E01000308,1,1,1.0
E01000309,2,2,1.0
E01000310,1,1,1.0
E01000312,3,2,1.5
E01000315,2,2,1.0
E01000316,6,4,1.5
E01000317,3,3,1.0
E01000318,1,1,1.0
E01000320,1,1,1.0
E01000323,1,1,1.0
E01000329,1,1,1.0
E01000335,2,1,2.0
E01000344,2,2,1.0
E01000364,1,1,1.0
E01000367,1,1,1.0
E01000371,1,1,1.0
E01000378,2,2,1.0
E01000383,1,1,1.0
E01000389,1,1,1.0
E01000390,1,1,1.0
E01000393,2,1,2.0
E01000394,1,1,1.0
E01000403,2,2,1.0
E01000405,1,1,1.0
E01000406,1,1,1.0
E01000413,1,1,1.0
E01000414,2,2,1.0
E01000416,3,2,1.5
E01000422,1,1,1.0
E01000423,1,1,1.0
E01000424,1,1,1.0
E01000425,1,1,1.0
E01000426,1,1,1.0
E01000428,1,1,1.0
E01000431,1,1,1.0
E01000432,2,2,1.0
E01000440,1,1,1.0
E01000445,9,1,9.0
E01000447,2,1,2.0
E01000449,1,1,1.0
E01000451,1,1,1.0
E01000454,1,1,1.0
E01000455,1,1,1.0
E01000457,1,1,1.0
E01000462,1,1,1.0
E01000465,1,1,1.0
E01000466,1,1,1.0
